"GARRETT, JANET PATRICIA",H,OH,4
"FRY, ROBERT L",H,OH,5
"GARRISON, JENNIFER D",H,OH,6
"POETTER, THOMAS ",H,OH,8
"KAPTUR, MARCY C HON.",H,OH,9
"KLEPINGER, ROBERT P",H,OH,10
"FUDGE, MARCIA L",H,OH,11
"TIBBS, DAVID ARTHUR",H,OH,12
"RYAN, TIMOTHY J.",H,OH,13
"WAGER, MICHAEL",H,OH,14
"WHARTON, RICHARD SCOTT",H,OH,15
"CROSSLAND, PETE",H,OH,16
"SILVERSTEIN, MATTHEW BENJAMIN",S,OK,0
"EVERETT, EARL EARL",H,OK,2
"ROBBINS, FRANKIE LEE",H,OK,3
"SMITH, BERT",H,OK,4
"MCAFFREY, AL",H,OK,5
"MERKLEY, JEFFREY ALAN",S,OR,0
"BONAMICI, SUZANNE MS.",H,OR,1
"CHRISTOFFERSON, AELEA",H,OR,2
"BLUMENAUER, EARL",H,OR,3
"DEFAZIO, PETER A.",H,OR,4
"SCHRADER, KURT",H,OR,5
"BRADY, ROBERT A",H,PA,1
"FATTAH, CHAKA MR.",H,PA,2
"LAVALLEE, DANIEL",H,PA,3
"THOMPSON, LINDA",H,PA,4
"TAYLOR, KERITH STRANO",H,PA,5
"TRIVEDI, MANAN",H,PA,6
"BALCHUNIS, MARY ELLEN",H,PA,7
"STROUSE, KEVIN",H,PA,8
"HARTZOK, ALANNA ",H,PA,9
"BRION, SCOTT FLOYD",H,PA,10
"OSTROWSKI, ANDREW J",H,PA,11
"MCCLELLAND, ERIN ROCHELE",H,PA,12
"BOYLE, BRENDAN F",H,PA,13
"DOYLE, MIKE",H,PA,14
"HOUGHTON, THOMAS",H,PA,16
"CARTWRIGHT, MATT MR",H,PA,17
"ALOMAR, RAFAEL COX",H,PR,0
"REED, JACK F",S,RI,0
"CICILLINE, DAVID N",H,RI,1
"LANGEVIN, JAMES R. HONORABLE",H,RI,2
"HUTTO, CHARLES BRADLEY",S,SC,0
"BLACK, PHILIP H",H,SC,2
"WROBLESKI-MULLIS, BARBARA JO",H,SC,3
"ADAMS, THOMAS A",H,SC,5
"CLYBURN, JAMES E.",H,SC,6
"TINUBU, GLORIA BROMELL",H,SC,7
"WEILAND, RICHARD PAUL",S,SD,0
"ROBINSON, CORINNA",H,SD,0
"BALL, GORDON",S,TN,0
"SCOTT, ROBERT R",H,TN,2
"HEADRICK, MARY MARGARET",H,TN,3
"SHERRELL, LENDA",H,TN,4
"COOPER, JAMES H.S.",H,TN,5
"POWERS, AMOS SCOTT",H,TN,6
"CRAMER, DANIEL NELSON",H,TN,7
"BRADLEY, WES",H,TN,8
"COHEN, STEPHEN IRA",H,TN,9
"ALAMEEL, DAVID M",S,TX,0
"MCKELLAR, SHIRLEY JONETTA  DR",H,TX,1
"LETSOS, NIKO",H,TX,2
"LINGENFELDER, JOHN JR",H,TX,3
"COZAD, DAVID EDWIN",H,TX,6
"CARGAS, JAMES P",H,TX,7
"GREEN, ALEXANDER",H,TX,9
"CADIEN, TAWANA W.",H,TX,10
"GREENE, MARK",H,TX,12
"MINTER, MICHAEL GENE",H,TX,13
"BROWN, DONALD GLENN JR",H,TX,14
"HINOJOSA, RUBEN E.",H,TX,15
"O'ROURKE, ROBERT (BETO)",H,TX,16
"HAYNES, NICHOLAS OWEN",H,TX,17
"LEE, SHEILA JACKSON",H,TX,18
"MARCHBANKS, JAMES NEAL",H,TX,19
"CASTRO, JOAQUIN MR.",H,TX,20
"BRISCOE, FRANK",H,TX,22
"GALLEGO, PETE",H,TX,23
"MCGEHEARTY, PATRICK  FABIAN",H,TX,24
"MONTOYA, MARCO",H,TX,25
"WIEGMANN, MATTHEW",H,TX,26
"REED, WESLEY CRAIG",H,TX,27
"CUELLAR, HENRY R.",H,TX,28
"GREEN, RAYMOND E. 'GENE'",H,TX,29
"JOHNSON, EDDIE BERNICE",H,TX,30
"MINOR, LOUIE JR",H,TX,31
"PEREZ, FRANK ANTHONY",H,TX,32
"VEASEY, MARC ALLISON MR.",H,TX,33
"VELA, FILEMON MR.",H,TX,34
"DOGGETT, LLOYD",H,TX,35
"COLE, MICHAEL KENNETH JR.",H,TX,36
"WONNACOTT, BRIAN",H,UT,0
"MCALEER, DONNA",H,UT,1
"ROBLES, LUZ M",H,UT,2
"OWENS, H DOUGLAS",H,UT,4
"WARNER, MARK ROBERT",S,VA,0
"MOSHER, NORMAN GARDNER",H,VA,1
"PATRICK, SUZANNE D",H,VA,2
"SCOTT, ROBERT C.",H,VA,3
"FAUSZ, ELLIOTT GRAYSON",H,VA,4
"GAUGHAN, WALTER LAWRENCE",H,VA,5
"ELDER, BRUCE A",H,VA,6
"TRAMMELL, JOHN K",H,VA,7
"BEYER, DONALD STERNOFF JR",H,VA,8
"FOUST, JOHN",H,VA,10
"CONNOLLY, GERALD EDWARD",H,VA,11
"WELCH, PETER",H,VT,0
"DELBENE, SUZAN K",H,WA,1
"LARSEN, RICK",H,WA,2
"DINGETHAL, BOB",H,WA,3
"PAKOOTAS, JOSEPH A",H,WA,5
"KILMER, DEREK",H,WA,6
"MCDERMOTT, JAMES",H,WA,7
"RITCHIE, JASON",H,WA,8
"SMITH, D ADAM",H,WA,9
"HECK, DENNIS",H,WA,10
"ZERBAN, ROBERT T",H,WI,1
"POCAN, MARK",H,WI,2
"KIND, RONALD JAMES",H,WI,3
"MOORE, GWEN S",H,WI,4
"ROCKWOOD, CHRISTOPHER B",H,WI,5
"HARRIS, MARK L",H,WI,6
"WESTLUND, KELLY",H,WI,7
"GRUETT, RON",H,WI,8
"TENNANT, NATALIE",S,WV,0
"GAINER, GLEN III",H,WV,1
"CASEY, GEORGE NICHOLAS JR",H,WV,2
"RAHALL, NICK J. II",H,WV,3
"HARDY, CHARLES E",S,WY,0
"GRAYSON, RICHARD",H,WY,0
